name	latitude	longitude
LAI 001/17	7021246	731065
LAI 002/17	7020053	730860
LAI 003/17	7021664	731724
LAI 004/17	7020970	732520
LAI 005/17	7020569	731301
LAI 006/17	7020789	730152
LAI 007/17	7020229	733172
LAI 008/17	7017868	735429
LAI 009/17	7024510	725908
LAI 010/17	7016423	734159
LAI 011/17	7017971	725061
LAI 012/17	7021160	731096
LAI 013/17	7025284	728884
LAI 014/17	7028616	726405
LAI 015/17	7019233	733654
LAI 016/17	7017864	734238
LAI 017/17	7016627	727310
LAI 018/17	7021583	732623
LAI 019/17	7022305	730358
LAI 020/17	7021841	731338
LAI 021/17	7016627	727310
LAI 022/17	7025678	728624
LAI 023/17	7020215	733313
LAI 024/17	7017107	734018
LAI 025/17	7022918	724037
LAI 026/17	7023062	725202
LAI 027/17	7021452	731130